Client,Amount,Date,Registrant,Purpose,From subcontractor,Source
China Shipping (Group) Company,255.16,01/31/13*,Blank Rome LLP,,,http://www.fara.gov/docs/4929-Supplemental-Statement-20130227-15.pdf
China Shipping (Group) Company,8823.41,01/31/13*,Blank Rome LLP,,,http://www.fara.gov/docs/4929-Supplemental-Statement-20130227-15.pdf
China Shipping (Group) Company,4996.00,01/31/13*,Blank Rome LLP,,,http://www.fara.gov/docs/4929-Supplemental-Statement-20130227-15.pdf
China Shipping (Group) Company,1816.00,01/31/13*,Blank Rome LLP,,,http://www.fara.gov/docs/4929-Supplemental-Statement-20130227-15.pdf
China Shipping (Group) Company,29851.00,07/31/11*,Blank Rome LLP,,,http://www.fara.gov/docs/4929-Supplemental-Statement-20130315-16.pdf
Austrian Tourist Office in Vienna,900000.00,12/31/12*,Austrian Tourist Office Inc,,,http://www.fara.gov/docs/495-Supplemental-Statement-20130207-19.pdf
International Bank of Azerbaijan,25000.00,2012-09-20,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,25000.00,2012-09-27,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,25000.00,2012-10-16,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,25000.00,2012-11-21,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,25000.00,2012-12-24,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,25000.00,2013-02-07,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,43.00,2012-09-20,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,18653.42,2012-09-27,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,18504.32,2012-10-16,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,23794.21,2012-11-21,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,15528.68,2012-12-24,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
International Bank of Azerbaijan,650.80,2013-02-07,"JWI, LLC dba Jefferson Waterman International",Out of Pocket Expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
Government of the Republic of The Gambia,600000.00,02/28/13*,"JWI, LLC dba Jefferson Waterman International",strategic advisory services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
Government of the Republic of The Gambia,200000.00,2012-04-25,"JWI, LLC dba Jefferson Waterman International",advance for travel expenses,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
Embassy of the Republic of Korea to the United States,14193.55,2012-12-20,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
Embassy of the Republic of Korea to the United States,20000.00,2013-02-04,"JWI, LLC dba Jefferson Waterman International",Professional Staff Services,,http://www.fara.gov/docs/4990-Supplemental-Statement-20130401-16.pdf
Sinn Fein,22380.41,04/30/13*,Friends Of Sinn Fein,Donations of $500 or less,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"JP Mechanical Insulation, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Southern California District Laborers,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,The Laborers District Council of Eastern PA,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,LIUNA Ontario Provincial District Council,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Crana Electric, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Laborers Intl. Untion of NA Local No. 368,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,AW Mever Co. INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Laborers Mid Atrlantic Regional Org Coalition,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Bait / Wash Construction and Public Employees,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Reidv Cbrrtraetirtg Group LLC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Local 147 Political Action fund,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Fitzpatrick Manhattan Hote,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Davis and Warshow Inc.,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Jonathan Metal and Glass,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Jacobson and Company. INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,211 MamaroneCk Ave. Restaurant LLC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Downes.Ronan,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Ad more Air Condition ing Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,ABCO Peerless Sprinkler Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,BP Mechinical Corp.,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Bruce Supply Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,"Hugh O'Kane Electric Company, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Striano Electric Co. Inc,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Collins Building Services IN,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Collins Building Services IN,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Local 30ISF Fund,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Building Contractors ASSN INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"McCarthy, Eugene G",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Midwest Region Laborers Political League,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,10000.00,04/30/13*,Friends Of Sinn Fein,Great Lakes Region Organizing Committee,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"ARI Products, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Cirocco and Ozzimo, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Admore Air Conditioning Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Sound Refrigeration & Air Conditioning INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"RD Rice Construction, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Icon Interiors INC.,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,Clark Dietrich Building Systems,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,Pinnacle Environmental CORP;,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Superior Acoustics, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Ancient Order of Hibernians,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,DSG Capital,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,4000.00,04/30/13*,Friends Of Sinn Fein,Rivco Construction,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,ESS &VEE Acoustical Contractors INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"L&kPartners, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,3000.00,04/30/13*,Friends Of Sinn Fein,"Techno Acoustics Holdings, LLC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,"TMT Marble & Tile, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,"C&H Agency, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Favour Royal, LLC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Safeway Atlantic LLC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,20000.00,04/30/13*,Friends Of Sinn Fein,"United Structural Works, IN",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Blarney PAC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Blarney PAC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Blarney PAC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,The Irish Society,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Island Fire Sprinkler INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,W Penn. Laborers Buildings and Defense,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Construction and General Laborers Local 304,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"JP Mechanical Insulation, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,WV Appalachian Laborers District Council,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,P.E Stone. INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Structure Tone, INC.",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,All State Interior Demolition INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,"Celtic Building Supplies, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,C&C Workers District Council of ny,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Hatzel & Buehler, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,"Knight Electrical Services, CORP",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Team Electric INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,District Council New York City,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,"Albert Pearlman, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"JP Phillips, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Mid Manhattan Painting INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Murray Hill Painting Company INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Lab Plumbing & Heating CO., INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Lab Plumbing & Heating CO., INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,AH Boro Floor Service (NC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,Sweeney and Harkin Carp and Drywall,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Sweeney and Harkin Carp and Drywall,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Marjam Supply Company,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Mason Tenders District Council,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Mason Tenders District Council,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Construction / Building Laborers,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Odwyerand Bernsteiril LLP,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Colony Hardware Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,GarrvmoreRestaurant. INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Forthill Construction Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Reilly, Patrick",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Henigan Construction Co.,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Eastern Design Tile & Marble, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,McGuiean Tombs & Company,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,Tydel Holding Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,10000.00,04/30/13*,Friends Of Sinn Fein,Eurotech Construction,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Smith, Joesph",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Brewster, Michael",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,McBrien. Patrick,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Navillus Tile Inc.,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Ftrequench, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Kennedy.JG,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,JP Roche INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,"Allen, Todd",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,United Rentals,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,13745.00,04/30/13*,Friends Of Sinn Fein,Estate of Kathleen Virginia Hughes,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Ben Krupinski General Contractor INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,3000.00,04/30/13*,Friends Of Sinn Fein,Prefered Sprinkler and Mechanical Corp,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1500.00,04/30/13*,Friends Of Sinn Fein,"Metal and Roof Supplies, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Castle Construction Partners INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2500.00,04/30/13*,Friends Of Sinn Fein,Total Quality Fire and Security,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Prefered Mechanical INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,J.T. Magen & Company INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,5000.00,04/30/13*,Friends Of Sinn Fein,Keough Law Group PLLC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Ranger Supply Col, INC",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,James E Fitzgerald INC,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,United Association,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,6000.00,04/30/13*,Friends Of Sinn Fein,Laborers International Union of NA,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,ULLICO Management Company,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1200.00,04/30/13*,Friends Of Sinn Fein,National Postal Mail Handlers Union,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,International Brotherhood of Teamsters,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,800.00,04/30/13*,Friends Of Sinn Fein,"Union of Roofers, Waterproofers",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,International Association of Fire Fighters,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,"Intl Asso. of Bridge, Structural, orn",,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,1000.00,04/30/13*,Friends Of Sinn Fein,Intl. Brotherhood of Electrical Workers,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,600.00,04/30/13*,Friends Of Sinn Fein,Building and Construction Trades Department,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,600.00,04/30/13*,Friends Of Sinn Fein,AFL CIO Housing Investment Trust,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Sinn Fein,2000.00,04/30/13*,Friends Of Sinn Fein,Kelly Press,,http://www.fara.gov/docs/5006-Supplemental-Statement-20130531-18.pdf
Federal Economic Chamber of Commerce (Wirtschaftskammer Oesterreich),34695.81,02/28/13*,"Austrian Trade Commission in the USA, Southern Reg",General Office Expenses,,http://www.fara.gov/docs/5041-Supplemental-Statement-20130326-18.pdf
Embassy of Singapore,32500.00,03/31/13*,"Reed, T. Dean","Advice and consultation, public relations, providing media monitoring reports",,http://www.fara.gov/docs/5044-Supplemental-Statement-20130430-16.pdf
"The Republic of Iraq, acting through the Ministry of Finance",26875.00,2012-07-10,Cleary Gottlieb Steen & Hamilton LLP,Fees,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",156477.50,2012-09-12,Cleary Gottlieb Steen & Hamilton LLP,Fees,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",73461.69,2012-12-13,Cleary Gottlieb Steen & Hamilton LLP,Fees,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",172785.97,2012-12-21,Cleary Gottlieb Steen & Hamilton LLP,Fees,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",17070.15,2012-12-21,Cleary Gottlieb Steen & Hamilton LLP,Disbursements,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",11886.32,2012-09-12,Cleary Gottlieb Steen & Hamilton LLP,Disbursements,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"The Republic of Iraq, acting through the Ministry of Finance",5057.85,2012-07-10,Cleary Gottlieb Steen & Hamilton LLP,Disbursements,,http://www.fara.gov/docs/508-Supplemental-Statement-20130130-19.pdf
"Czech Ministry of Foreign Affairs, Czech Centers Division",90000.00,2012-07-01,Czech Center New York,Operations/Events,,http://www.fara.gov/docs/5115-Supplemental-Statement-20130130-17.pdf
"Czech Ministry of Foreign Affairs, Czech Centers Division",90000.00,2012-09-01,Czech Center New York,Operations/Events,,http://www.fara.gov/docs/5115-Supplemental-Statement-20130130-17.pdf
"Czech Ministry of Foreign Affairs, Czech Centers Division",90000.00,2012-10-01,Czech Center New York,Operations/Events,,http://www.fara.gov/docs/5115-Supplemental-Statement-20130130-17.pdf
JETRO New York,23000.00,07/31/12*,"KWR International, Inc.",Newsletters/Interviews,,http://www.fara.gov/docs/5119-Supplemental-Statement-20120831-14.pdf
People's Daily Overseas Edition,696444.00,06/30/12*,"Hal Tian Development USA, Inc.",,,http://www.fara.gov/docs/5143-Supplemental-Statement-20120731-15.pdf
People's Daily Overseas Edition,681682.00,12/31/12*,"Hal Tian Development USA, Inc.",,,http://www.fara.gov/docs/5143-Supplemental-Statement-20130130-16.pdf
Tilda LTD,27890.00,11/30/12*,Charles J. O'Mara,,,http://www.fara.gov/docs/5181-Supplemental-Statement-20130109-17.pdf
Govt of Mexico - Secretaria de Economia,559195.00,01/31/13*,Pillsbury Winthrop Shaw Pittman LLP,"Payments received during the period August 1, 2012 to January 21, 2013.",,http://www.fara.gov/docs/5198-Supplemental-Statement-20130302-15.pdf
